course_title,department,department_full,all_departments,course_number,level,description,classification,sdgs,syllabus_url,semester
Global Public Health Entomology,ENTO,Entomology,ENTO,210,Undergraduate,"This course provides an overview of the ways arthropods impact global public health and wellbeing, either directly or through the pathogens they transmit. It aims to provide a broad perspective, covering pertinent public health issues from a local to global scale. A historical perspective will be integrated throughout, and the impact of globalization, migration, poverty, and culture on pathogen transmission by arthropods and associated diseases will be discussed.",Focused,3,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=64002,Summer 2025
Directed Studies: Workshop in Environmental Studies,GEOG,Geography,GEOG,485,Undergraduate,"This study abroad aims to provide students with a professionalizing academic experience. The topic for the Summer 2025 semester study abroad experience will be to investigate issues surrounding one of the megatrends of our time: urbanization. The study abroad experience will: (1) encourage undergraduate students at TAMU to participate in international collaborative research training in Germany (Berlin) and Sweden (Gävle and Stockholm); (2) introduce undergraduate students to careers in environmental consulting, urban planning, land use planning, and other related fields; and (3) provide research training in systems and futures thinking to undergraduate students.",Focused,11,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=52952,Summer 2025
Environmental Justice,GEOG,Geography,GEOG,430,Undergraduate,"Exploration into the spatial variability and human geography of exposure to environmental hazards in U.S. and international contexts; emphasizes environmental equity and environmental racism as it relates to occupational, leisure, and residential geography.",Focused,"2,6,10,11,12,13,16",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=61703,Summer 2025
Environmental Change,GEOG,Geography,GEOG,205,Undergraduate,"Geography 205 is an introductory course in physical geography that explores environmental change and the structures of knowledge around environmental topics. The purpose of this course is to apply a systems perspective on attributes, elements, and connections within the earth’s physical environment and to learn how and why the environment changes at multiple spatial and temporal scales. A systems approach is used to structure our approach to the atmosphere, cryosphere, hydrosphere, lithosphere and biosphere",Focused,"13,15",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=63179,Summer 2025
Planet Earth,GEOG,Geography,GEOG,203,Undergraduate,"This course takes an earth systems approach to studying the planet we inhabit. All of the earth’s spheres—the atmosphere (weather & climate), hydrosphere (water in all its forms), lithosphere (earth’s surface), and biosphere (living organisms, plants and animals)—are examined in detail. The lectures explore the complex interactions between these spheres as well as how they affect and are affected by humans. We will cover the fundamental principles that are necessary for understanding earth systems science, also referred to as physical geography.",Focused,"13,14,15",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=38146,Summer 2025
The Blue Planet: Our Oceans,OCNG,Oceanography,OCNG,251,Undergraduate,"Overview of the ocean environment, interrelation of the sub-disciplines of ocean sciences, importance of the oceans to human beings, human impact on the oceans. Class discussion of current events of relevance to the oceans.",Focused,"12,14",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=62917,Summer 2025
The Environment and Public Health,PHLT,Environmental and Occupational Health,PHLT,330,Undergraduate,"Public health core knowledge address factors that pose risks and hazards in homes and workplaces; methods for defining environmental contamination; identifying contaminants, pathogens and toxins; assessing risks and causality; ameliorating hazards.",Focused,"2,3,6,8,11,12,15",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=62098,Summer 2025
Expand Your Range,RWFM,"Rangeland, Wildlife and Fisheries Management",RWFM,489,Undergraduate,"This course has been designed to introduce students to land management within the private/public land interface. Developing skills to understand, and therefore manage, the interface between stakeholders will be the primary focus of this course. Students will become familiar with the issues and practices regarding natural resource management within the public/private land interface related to ranching and livestock production, wildlife-based enterprises, endangered species management, and other areas of natural resources",Focused,"12,15",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=63013,Summer 2025
Ecology and Society,RWFM,"Rangeland, Wildlife and Fisheries Management",RWFM,420,Undergraduate,"Study and compare human and natural ecosystems using diversity, interrelations, cycles, and energy as the conceptional organization; central themes of the course are natural resource stewardship, scientific application, and environmental sustainability. Students will apply tools of wildlife management as a framework for natural resource management, exploring how these tools reflect and impact societal order and economic considerations locally and globally.",Focused,"12,15",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=54319,Summer 2025
Social and Ethical Aspects of International Cropping Systems/Ethical Aspects of International Agricultural Systems,SCSC,Soil and Crop Sciences,SCSC,330,Undergraduate,"Philosophical basis of ethical decisions; includes slavery, war, population growth, migration, farm workers, chemical inputs, genetically modified organisms, soil and water conservation and protection of wild species.",Focused,"2,15,16",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=33680,Summer 2025
Introduction to Transportation Planning,URPN,Landscape Architecture and Urban Planning,URPN,369,Undergraduate,"This course provides a comprehensive overview of several important concepts related to urban transportation planning. The topics covered in this course are organized into three themes. Theme A sets the scene for our study in urban transportation planning. Trends in public transportation, urban development, relevant legislation, and public policy decision-making processes will be studied as a general background for transportation planning. In Theme B, we discuss some of the most common aspects of transportation planning, such as travel demand analysis, transportation finance, and the interactions between land use and transportation. Theme C addresses various compelling issues challenging the current transportation planners and policymakers.",Focused,"3,7,10,11,15",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=18291,Summer 2025
Urban Issues,URPN,Landscape Architecture and Urban Planning,URPN,361,Undergraduate,"Issues pertaining to the evolution and development of cities and urban regions; examines the socioeconomic, cultural and physical development of urban areas; addresses contemporary problems such as racial tension, unemployment and poverty, housing, pollution and environmental sustainability, traffic and congestion, land use, crime, public health, and other quality of life issues.",Focused,"1,3,8,9,10,11,15,16",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=21931,Summer 2025
"Smart Cities: Bit, Bots, and Beyond",URPN,Landscape Architecture and Urban Planning,URPN,203,Undergraduate,"The global market for smart cities is growing exponentially. Transformative technologies (e.g., ICT, IoT, data analytics, AI, automation) can promote livability, productivity, and sustainability of cities. With supportive policy frameworks, we can turn these technologies into robust solutions for challenges of climate change, transportation, aging population, governance, economic growth, and social inclusion. However, there is a significant shortage of professionals who can serve as “bridge persons” between technology and local communities.",Focused,"3,8,9,10,11,13,16",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=28295,Summer 2025
Building Better Cities,URPN,Landscape Architecture and Urban Planning,URPN,202,Undergraduate,"Determinants of land use patterns; classification of uses; idealized conceptual alternatives; location and size criteria; mapping; comprehensive planning process, relationship to circulation planning.",Focused,"7,8,9,10,11",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=30651,Summer 2025
The Evolving City,URPN,Landscape Architecture and Urban Planning,URPN,201,Undergraduate,"This course introduces students to the history of contemporary urban and regional planning, and how the evolving forms of cities and regions pose opportunities and/or challenges for planners. This course helps students to understand what a city is, how cities work, why and how cities evolve, bringing in urban spatial structure and function, their evolution over time, and forces that influence change. It covers theories of urban expansion, the history of urbanization and suburbanization in the United States, and local and global forces that shape urban structure. With an understanding of key social, economic, political, and technological forces that shape city form and function, students of this course will analyze spatial patterns and socioeconomic functions of cities and regions.",Focused,"8,9,10,11,13",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=23035,Summer 2025
Aerospace Propulsion,AERO,Aerospace Engineering,AERO,489,Undergraduate,"Air breathing propulsion; design and analysis of inlets, compressors, combustors, turbines and nozzles; application to aeronautical, aerospace, ground transportation and energy.",Inclusive,9,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=62158,Summer 2025
Landscape Irrigation,AGSM,Bioloigcal and Agricultural Engineering,AGSM,437,Undergraduate,"Design, installation, operation, and management of landscape irrigation systems. Includes principles of hydraulics such as friction losses and design pressure, customer service, site evaluation, and a final design project. Fulfills the education requirements for obtaining a State of Texas Irrigation License.",Inclusive,15,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202521&crn=35009,Summer 2025
Designing and Delivering Effective Youth Programs,ALEC,"Agricultural Leadership, Education, and Communications",ALEC,372,Undergraduate,"Design and Deliver Youth Programs. Introduction to the concepts of program design for youth programs; focuses on key programming issues; development of implementation plans; overview of equipment and facilities; focus on program flexibility, risk management and evaluation (formative and summative).",Inclusive,"4,8",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=54390,Summer 2025
Principles of Positive Youth Development,ALEC,"Agricultural Leadership, Education, and Communications",ALEC,370,Undergraduate,"The purpose of this course is to introduce students to the history of youth development, program emphases and practices of major youth serving organizations, and core competencies necessary for all youth workers. This course is an introduction to the fundamental concepts of youth development practices, programs, organizations, and services. Through this course you will develop a critical understanding of the changing views of adolescence and youth culture in the United Sates, as well as the ways that community settings influence the youth development process. This course will provide an overview of youth development theories and principles of positive youth development. We will discuss aspects of youth development programs, including the goals, program emphases, and developmental outcomes associated with participation in youth development programs.",Inclusive,"4,10",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=55905,Summer 2025
Cultural Pluralism in Agriculture,ALED,"Agricultural Leadership, Education, and Communications",ALED,422,Undergraduate,"Selected topics on the diversity of human resources in agriculture and an emphasis on working in a multicultural society. Will seek to develop an awareness towards other cultures; explore the interrelationships between the contributions of diversity on an individual, state, national and global levels.",Inclusive,"5,8,10",https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=57664,Summer 2025
Social and Cultural Anthropology,ANTH,Anthropology,ANTH,210,Undergraduate,"The course will provide students with an introduction to the fields of Social and Cultural Anthropology. We will examine the numerous dimensions by which human cultures vary, including economy and subsistence, family formation, religion, language, political structure, gender relationships, and many more. We will also explore different schools of thought that attempt to explain how and why cultures vary the way they do along these dimensions around the world.",Inclusive,10,https://howdy.tamu.edu/main/api/class-search/syllabus-pdf?term=202531&crn=63739,Summer 2025
